年齢,学歴,職業,人種,性別,週労働時間,出身国,収入
39, Bachelors, Adm-clerical, White, Male,40, United-States, <=50K
50, Bachelors, Exec-managerial, White, Male,13, United-States, <=50K
38, HS-grad, Handlers-cleaners, White, Male,40, United-States, <=50K
53, 11th, Handlers-cleaners, Black, Male,40, United-States, <=50K
28, Bachelors, Prof-specialty, Black, Female,40, Cuba, <=50K
37, Masters, Exec-managerial, White, Female,40, United-States, <=50K
49, 9th, Other-service, Black, Female,16, Jamaica, <=50K
52, HS-grad, Exec-managerial, White, Male,45, United-States, >50K
31, Masters, Prof-specialty, White, Female,50, United-States, >50K
42, Bachelors, Exec-managerial, White, Male,40, United-States, >50K
37, Some-college, Exec-managerial, Black, Male,80, United-States, >50K
30, Bachelors, Prof-specialty, Asian-Pac-Islander, Male,40, India, >50K
23, Bachelors, Adm-clerical, White, Female,30, United-States, <=50K
32, Assoc-acdm, Sales, Black, Male,50, United-States, <=50K
34, 7th-8th, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, HS-grad, Farming-fishing, White, Male,35, United-States, <=50K
32, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
38, 11th, Sales, White, Male,50, United-States, <=50K
43, Masters, Exec-managerial, White, Female,45, United-States, >50K
40, Doctorate, Prof-specialty, White, Male,60, United-States, >50K
54, HS-grad, Other-service, Black, Female,20, United-States, <=50K
35, 9th, Farming-fishing, Black, Male,40, United-States, <=50K
43, 11th, Transport-moving, White, Male,40, United-States, <=50K
59, HS-grad, Tech-support, White, Female,40, United-States, <=50K
56, Bachelors, Tech-support, White, Male,40, United-States, >50K
19, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
39, HS-grad, Exec-managerial, White, Male,80, United-States, <=50K
49, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
23, Assoc-acdm, Protective-serv, White, Male,52, United-States, <=50K
20, Some-college, Sales, Black, Male,44, United-States, <=50K
45, Bachelors, Exec-managerial, White, Male,40, United-States, <=50K
30, Some-college, Adm-clerical, White, Male,40, United-States, <=50K
22, Some-college, Other-service, Black, Male,15, United-States, <=50K
48, 11th, Machine-op-inspct, White, Male,40, Puerto-Rico, <=50K
21, Some-college, Machine-op-inspct, White, Male,40, United-States, <=50K
19, HS-grad, Adm-clerical, White, Female,25, United-States, <=50K
48, Assoc-acdm, Prof-specialty, White, Male,40, United-States, <=50K
31, 9th, Machine-op-inspct, White, Male,43, United-States, <=50K
53, Bachelors, Prof-specialty, White, Male,40, United-States, <=50K
24, Bachelors, Tech-support, White, Male,50, United-States, <=50K
49, HS-grad, Adm-clerical, White, Female,40, United-States, <=50K
25, HS-grad, Handlers-cleaners, White, Male,35, United-States, <=50K
57, Bachelors, Prof-specialty, Black, Male,40, United-States, >50K
53, HS-grad, Machine-op-inspct, White, Male,38, United-States, <=50K
44, Masters, Exec-managerial, White, Female,40, United-States, <=50K
41, Assoc-voc, Craft-repair, White, Male,40, United-States, <=50K
29, Assoc-voc, Prof-specialty, White, Male,43, United-States, <=50K
25, Some-college, Exec-managerial, Other, Female,40, United-States, <=50K
47, Prof-school, Prof-specialty, White, Female,60, Honduras, >50K
50, Bachelors, Exec-managerial, White, Male,55, United-States, >50K
47, HS-grad, Exec-managerial, White, Male,60, United-States, <=50K
43, Some-college, Tech-support, White, Male,40, United-States, >50K
46, 5th-6th, Machine-op-inspct, White, Male,40, Mexico, <=50K
35, Assoc-voc, Other-service, White, Male,40, Puerto-Rico, <=50K
41, HS-grad, Adm-clerical, White, Male,48, United-States, <=50K
30, HS-grad, Machine-op-inspct, White, Male,40, United-States, <=50K
30, Bachelors, Sales, White, Male,40, United-States, <=50K
48, HS-grad, Transport-moving, White, Male,40, United-States, <=50K
42, Doctorate, Prof-specialty, White, Male,45, United-States, >50K
29, Some-college, Tech-support, White, Male,58, United-States, <=50K
36, HS-grad, Craft-repair, White, Male,40, United-States, <=50K
28, Some-college, Adm-clerical, White, Female,40, United-States, <=50K
53, HS-grad, Adm-clerical, White, Female,40, United-States, >50K
49, Some-college, Exec-managerial, White, Male,50, United-States, >50K
19, Some-college, Prof-specialty, White, Male,32, United-States, <=50K
